shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
S400032,40.643339,-74.074111,10001
S400032,40.643264,-74.074327,10002
S400032,40.643399,-74.074410,10003
S400032,40.643332,-74.074579,10004
S400032,40.643172,-74.074819,10005
S400032,40.643012,-74.074989,10006
S400032,40.642882,-74.075129,10007
S400032,40.642822,-74.075319,10008
S400032,40.642822,-74.075419,10009
S400032,40.642862,-74.075629,10010
S400032,40.643210,-74.075901,10011
S400032,40.643210,-74.075901,20001
S400032,40.643502,-74.076129,20002
S400032,40.644462,-74.076849,20003
S400032,40.644736,-74.077059,20004
S400032,40.644736,-74.077059,30001
S400032,40.645532,-74.077669,30002
S400032,40.645692,-74.077789,30003
S400032,40.645932,-74.077989,30004
S400032,40.646032,-74.078129,30005
S400032,40.646172,-74.078349,30006
S400032,40.646262,-74.078499,30007
S400032,40.646273,-74.078519,30008
S400032,40.646273,-74.078519,40001
S400032,40.646312,-74.078589,40002
S400032,40.646662,-74.079219,40003
S400032,40.646812,-74.079479,40004
S400032,40.647042,-74.079899,40005
S400032,40.647122,-74.080069,40006
S400032,40.647212,-74.080289,40007
S400032,40.647262,-74.080469,40008
S400032,40.647312,-74.080669,40009
S400032,40.647327,-74.080765,40010
S400032,40.647327,-74.080765,50001
S400032,40.647352,-74.080919,50002
S400032,40.647502,-74.081759,50003
S400032,40.647622,-74.082409,50004
S400032,40.647672,-74.082619,50005
S400032,40.647732,-74.082829,50006
S400032,40.648012,-74.083719,50007
S400032,40.648042,-74.083829,50008
S400032,40.648242,-74.084499,50009
S400032,40.648272,-74.084609,50010
S400032,40.648278,-74.084631,50011
S400032,40.648278,-74.084631,60001
S400032,40.648342,-74.084859,60002
S400032,40.648382,-74.085039,60003
S400032,40.648392,-74.085189,60004
S400032,40.648392,-74.085489,60005
S400032,40.648352,-74.085799,60006
S400032,40.648322,-74.085919,60007
S400032,40.648272,-74.086109,60008
S400032,40.648162,-74.086399,60009
S400032,40.647972,-74.086749,60010
S400032,40.647902,-74.086869,60011
S400032,40.647852,-74.086959,60012
S400032,40.647632,-74.087359,60013
S400032,40.647592,-74.087419,60014
S400032,40.647367,-74.087823,60015
S400032,40.647367,-74.087823,70001
S400032,40.647192,-74.088139,70002
S400032,40.646992,-74.088439,70003
S400032,40.646912,-74.088559,70004
S400032,40.646652,-74.088939,70005
S400032,40.646538,-74.089160,70006
S400032,40.646538,-74.089160,80001
S400032,40.646472,-74.089289,80002
S400032,40.646372,-74.089489,80003
S400032,40.646292,-74.089699,80004
S400032,40.646192,-74.090009,80005
S400032,40.646032,-74.090639,80006
S400032,40.645842,-74.091399,80007
S400032,40.645632,-74.092229,80008
S400032,40.645505,-74.092728,80009
S400032,40.645505,-74.092728,90001
S400032,40.645472,-74.092859,90002
S400032,40.645042,-74.094669,90003
S400032,40.644972,-74.094979,90004
S400032,40.644882,-74.095429,90005
